user_id,user_active_degree,is_lowactive_period,is_live_streamer,is_video_author,follow_user_num,follow_user_num_range,fans_user_num,fans_user_num_range,friend_user_num,friend_user_num_range,register_days,register_days_range,onehot_feat0,onehot_feat1,onehot_feat2,onehot_feat3,onehot_feat4,onehot_feat5,onehot_feat6,onehot_feat7,onehot_feat8,onehot_feat9,onehot_feat10,onehot_feat11,onehot_feat12,onehot_feat13,onehot_feat14,onehot_feat15,onehot_feat16,onehot_feat17
0,high_active,0,0,0,5,"(0,10]",0,0,0,0,107,61-90,0,1,17,638,2,0,1,6,184,6,3,0,0,0,0,0,0,0
1,full_active,0,0,0,386,"(250,500]",4,"[1,10)",2,"[1,5)",327,181-365,0,3,25,1021,0,0,1,6,186,6,2,0,0,0,0,0,0,0
2,full_active,0,0,0,27,"(10,50]",0,0,0,0,116,91-180,0,6,8,402,0,0,0,2,51,2,3,0,0,0,0,0,0,0
3,full_active,0,0,0,16,"(10,50]",0,0,0,0,105,61-90,0,1,8,281,0,0,0,34,251,3,2,0,0,0,0,0,0,0
4,full_active,0,0,0,122,"(100,150]",4,"[1,10)",0,0,225,181-365,0,1,8,316,1,0,1,46,99,4,2,0,0,0,0,0,0,0
5,full_active,0,0,0,17,"(10,50]",0,0,0,0,376,181-365,1,1,8,159,0,0,0,18,72,6,0,0,0,0,0,0,0,0
6,full_active,0,0,0,330,"(250,500]",1,"[1,10)",1,"[1,5)",172,181-365,0,1,17,664,1,0,1,16,237,3,3,0,0,0,0,0,0,0
7,full_active,0,0,0,6,"(0,10]",0,0,0,0,141,91-180,0,1,25,1003,0,0,1,0,312,6,3,0,1,0,0,0,0,0
8,high_active,0,0,0,5,"(0,10]",0,0,0,0,353,181-365,0,1,1,453,2,0,0,36,68,1,0,2,0,1,0,0,0,0
9,full_active,0,0,0,14,"(10,50]",0,0,0,0,345,181-365,0,1,21,733,0,0,1,35,11,2,2,0,0,0,0,0,0,0
10,full_active,0,0,0,20,"(10,50]",11,"[10,100)",2,"[1,5)",124,91-180,1,5,8,264,1,0,0,34,321,4,3,0,0,0,0,0,0,0
11,full_active,0,0,0,121,"(100,150]",1,"[1,10)",1,"[1,5)",128,91-180,1,5,8,324,1,0,1,35,11,2,2,0,0,0,0,0,0,0
12,full_active,0,0,0,558,500+,13,"[10,100)",5,"[5,30)",335,181-365,0,6,10,470,1,0,0,25,306,3,2,0,0,0,0,0,0,0
13,full_active,0,0,0,11,"(10,50]",1,"[1,10)",0,0,153,91-180,0,1,17,662,1,0,1,6,174,6,2,0,0,0,0,0,0,0
14,full_active,0,0,1,73,"(50,100]",6,"[1,10)",1,"[1,5)",279,181-365,0,5,8,417,2,0,1,3,297,4,2,0,1,1,1,0,0,0
15,full_active,0,0,0,26,"(10,50]",0,0,0,0,91,91-180,0,1,8,271,1,0,0,25,164,1,2,0,0,0,0,0,0,0
16,full_active,0,0,0,138,"(250,500]",4,"[1,10)",4,"[1,5)",273,181-365,1,2,23,1005,,0,1,7,274,1,3,0,0,0,0,0,0,0
17,full_active,0,0,0,24,"(10,50]",0,0,0,0,258,181-365,1,4,24,859,1,0,1,37,195,3,3,0,1,0,0,1,1,0
18,full_active,0,0,0,46,"(10,50]",1,"[1,10)",0,0,306,181-365,1,1,25,1006,2,0,0,13,273,3,3,0,0,0,0,0,0,0
19,full_active,0,0,0,3,"(0,10]",2,"[1,10)",1,"[1,5)",146,91-180,0,1,18,589,1,0,1,7,227,3,3,0,0,0,0,0,0,0
20,full_active,0,0,0,204,"(150,250]",2,"[1,10)",0,0,1048,730+,0,6,8,126,1,0,0,12,6,1,4,0,1,0,0,0,0,0
21,high_active,0,0,0,63,"(50,100]",0,0,0,0,154,91-180,0,4,13,568,1,0,0,13,292,4,2,0,1,1,0,0,0,0
22,high_active,0,0,0,9,"(0,10]",5,"[1,10)",1,"[1,5)",226,181-365,0,4,25,1042,0,0,0,18,286,1,3,0,0,0,0,0,0,0
23,full_active,0,0,0,94,"(50,100]",1,"[1,10)",0,0,261,181-365,0,1,3,45,1,0,0,13,148,6,2,0,1,0,0,0,0,0
